earthquake,peak_disp_cm,rms_disp_cm,mean_force_kN,max_force_kN
TEST1_stationary_wind_12ms.csv,105.25239706039429,54.418481579393536,80.02683676481247,195.67525386810303
TEST2_turbulent_wind_25ms.csv,275.6779909133911,103.4849978630624,116.16456531882287,199.99723434448242
TEST3_small_earthquake_M4.5.csv,38.85602951049805,23.530164108361635,173.45222080945967,194.553804397583
TEST4_large_earthquake_M6.9.csv,20.972871780395508,7.699113528216645,168.25370658040046,186.60354614257812
TEST5_earthquake_M6.7.csv,20.972871780395508,7.699113528216645,168.25370658040046,186.60354614257812
TEST5_hurricane_wind_50ms.csv,604.6266078948975,256.57832445118225,151.47023977637292,200.0
TEST6a_baseline_clean.csv,20.972871780395508,7.699113528216645,168.25370658040046,186.60354614257812
TEST6b_with_10pct_noise.csv,21.425817906856537,7.9481747514329335,168.64863109588623,186.77936792373657
TEST6c_with_50ms_latency.csv,20.97438871860504,7.659636171772345,168.1905280192693,186.81902885437012
TEST6d_with_5pct_dropout.csv,21.048633754253387,7.343627984421217,167.62252631386121,186.213219165802
TEST6e_combined_stress.csv,21.812334656715393,8.219991330058507,169.22025509476663,187.05589771270752
